time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/explained_variance,train/learning_rate,train/approx_kl,rollout/ep_len_mean,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,train/loss,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,curriculum/shake_force
525,1,3,2048,,,,,,,,,,,,,,,,
522,2,7,4096,0.033203125,0.12286704778671265,9.97952e-05,0.00082325743,1000.0,10,0.0033709819879732096,-1.1560343950986862,0.0997952,-0.0026609660126268864,-0.0025046284252312036,0.7663861513137817,996.2589879999999,,,
506,3,12,6144,0.0265625,0.5544425249099731,9.95904e-05,0.0007754483,1000.0,20,0.0034848537005018445,-1.1487796545028686,0.09959040000000001,0.003274395363405347,-0.002189322165213525,0.7601771354675293,996.2589879999999,,,
473,4,17,8192,0.0564453125,-0.554153323173523,9.93856e-05,0.0012097987,1000.0,30,0.002526716837019194,-1.1409530162811279,0.0993856,0.001384251518175006,-0.0034151336280046963,0.7543895840644836,996.930071125,,,
482,5,21,10240,0.040966796875,0.2157893180847168,9.918080000000001e-05,0.0010241974,1000.0,40,0.0028023107617627828,-1.1341958075761795,0.09918080000000001,-0.0017192072700709105,-0.0026405049342429266,0.7503913044929504,996.930071125,,,
489,6,25,12288,0.02412109375,0.487109899520874,9.8976e-05,0.0008588537,1000.0,50,0.0021550731675233693,-1.1291356548666953,0.09897600000000001,0.002409264910966158,-0.0019175741137587466,0.7465540170669556,996.3758157500001,,,
488,7,29,14336,0.030859375,0.6261113286018372,9.877120000000001e-05,0.0009492717,1000.0,60,0.00277747713989811,-1.125462357699871,0.0987712,-0.0009863256709650159,-0.0022741239896276965,0.744739294052124,996.3758157500001,,,
490,8,33,16384,0.028125,0.5050562620162964,9.85664e-05,0.0008594288,1000.0,70,0.0018022225427557713,-1.1225084394216538,0.0985664,-0.00023974216310307384,-0.0016590826155152172,0.7420737743377686,996.4449275625,,,
493,9,37,18432,0.02216796875,0.6680071353912354,9.83616e-05,0.00080286484,1000.0,80,0.0017261249871808105,-1.116836716234684,0.09836160000000001,-0.0028625763952732086,-0.0025179302087053657,0.736173689365387,996.4449275625,,,
,,,20000,0.037353515625,-2.280221939086914,9.81568e-05,0.0011100443,,90,0.0011117082678538282,-1.1100331380963326,0.0981568,-0.0015175389125943184,-0.0031059474611538464,0.7321739792823792,,1000.0,997.4659440000001,
250,10,81,20480,,,,,1000.0,,,,,,,,996.67093535,,,0.05
262,11,85,22528,0.036328125,-2.630561113357544,9.7952e-05,0.0008832139,1000.0,100,0.0014751718226762023,-1.1056219458580017,0.097952,-0.004001670982688665,-0.0018128568190149963,0.7298805713653564,996.67093535,,,
273,12,89,24576,0.025732421875,0.21188700199127197,9.774720000000001e-05,0.00079932075,1000.0,110,0.0012223293728311547,-1.1018047794699668,0.0977472,-0.0066158827394247055,-0.0017658907134318724,0.7265893816947937,996.7410327916667,,,
283,13,93,26624,0.014892578125,-0.10228574275970459,9.75424e-05,0.0004580408,1000.0,120,0.002333978918613866,-1.0971500650048256,0.0975424,0.0012195863528177142,-0.0010144416170078329,0.7230696082115173,996.7410327916667,,,
292,14,97,28672,0.06484375,-1.9127426147460938,9.733760000000001e-05,0.001564197,1000.0,130,0.0010550912251346745,-1.094654481112957,0.09733760000000001,-0.004447122570127249,-0.002711554989218712,0.7235906720161438,996.9117058214287,,,
301,15,102,30720,0.03330078125,-1.3820383548736572,9.71328e-05,0.00090125325,1000.0,140,0.0018581019234261476,-1.0940102353692054,0.0971328,-0.0022805503103882074,-0.002002520894166082,0.7210872769355774,996.9117058214287,,,
308,16,106,32768,0.055029296875,-0.7228089570999146,9.6928e-05,0.001164336,1000.0,150,0.0008824789030768443,-1.0903577163815499,0.09692800000000001,-0.004715509247034788,-0.0024696926731849088,0.719176709651947,997.0272126875,,,
315,17,110,34816,0.009521484375,-0.7206125259399414,9.67232e-05,0.0005606187,1000.0,160,0.0011914250149857252,-1.0871947720646857,0.09672320000000001,-0.0016495059244334698,-0.0008132381262839772,0.7160173654556274,997.0272126875,,,
322,18,114,36864,0.02607421875,0.39104461669921875,9.651840000000001e-05,0.0010525242,1000.0,170,0.0016948772623436525,-1.0823639929294586,0.0965184,-0.0001399811590090394,-0.00137668426905293,0.7123653292655945,997.1014955277777,,,
328,19,118,38912,0.047216796875,0.1754266619682312,9.63136e-05,0.0010958171,1000.0,180,0.0012381855100102256,-1.0772449612617492,0.0963136,-0.0012112259864807129,-0.002774675904947799,0.708888828754425,997.1014955277777,,,
,,,40000,0.028125,-1.4315202236175537,9.61088e-05,0.0008593539,,190,0.0008630619144241791,-1.0715649798512459,0.0961088,-0.0025936979800462723,-0.00170078364899382,0.7041022181510925,,1000.0,998.2942457000001,
252,20,162,40960,,,,,1000.0,,,,,,,,997.2034053,,,0.0625
257,21,166,43008,0.02685546875,-2.4754648208618164,9.590400000000001e-05,0.00066629145,1000.0,200,0.0009599770739441738,-1.0646155789494514,0.095904,-0.0015224770177155733,-0.0012489830172853545,0.6991920471191406,997.2034053,,,
263,22,170,45056,0.021826171875,-0.543415904045105,9.56992e-05,0.00040683075,1000.0,210,0.002538495980843436,-1.0587133049964905,0.0956992,-0.002638034988194704,-0.0021605250716675074,0.6958960294723511,997.2957084090908,,,
269,23,174,47104,0.0224609375,0.17809003591537476,9.54944e-05,0.00068770093,1000.0,220,0.003489104415348265,-1.0552594095468522,0.09549440000000001,0.002874296624213457,-0.0013637251380714589,0.6944044828414917,997.2957084090908,,,
275,24,178,49152,0.034814453125,-0.4398829936981201,9.52896e-05,0.0008245366,997.8541666666666,230,0.0028357112663798035,-1.0521444514393807,0.0952896,-0.0019404608756303787,-0.0017341798578854651,0.6914138793945312,995.1981851249999,,,
280,25,182,51200,0.002001953125,0.6763591766357422,9.50848e-05,0.00029275496,997.8541666666666,240,0.018118354315811304,-1.0497339427471162,0.09508480000000001,0.008290844969451427,-0.0008901263005100191,0.6914400458335876,995.1981851249999,,,
285,26,186,53248,0.028466796875,0.1351659893989563,9.488e-05,0.0007593804,998.0192307692307,250,0.001655326064064866,-1.0489934444427491,0.09488,0.0026346109807491302,-0.0012455963587854058,0.6903069615364075,995.4040182884613,,,
289,27,190,55296,0.026611328125,-0.18063557147979736,9.467520000000001e-05,0.0005289739,998.0192307692307,260,0.0016062152339145542,-1.0480345726013183,0.09467520000000001,-0.006834924221038818,-0.0011057715688366442,0.6897433400154114,995.4040182884613,,,
294,28,194,57344,0.016259765625,-1.2377173900604248,9.447040000000001e-05,0.00046569837,998.1607142857143,270,0.001575122868962353,-1.0455165013670922,0.09447040000000001,0.0008534914231859148,-0.00048145842665689995,0.6868435144424438,995.6221257678571,,,
299,29,198,59392,0.020947265625,-0.9992392063140869,9.426560000000001e-05,0.0006343562,998.1607142857143,280,0.0016526156730833463,-1.0406410440802574,0.0942656,-0.004757994320243597,-0.001960134963155724,0.682895839214325,995.6221257678571,,,
,,,60000,0.02255859375,-1.0600097179412842,9.40608e-05,0.00045392098,,290,0.0014614085615903606,-1.035153552889824,0.0940608,-0.0009812082862481475,-0.0020600788644514977,0.6797389388084412,,1000.0,998.1008919000002,
254,30,241,61440,,,,,998.2833333333333,,,,,,,,995.7837684666666,,,0.078125
258,31,245,63488,0.035302734375,-1.5499544143676758,9.3856e-05,0.0008255737,998.2833333333333,300,0.0010143783132662066,-1.0314173623919487,0.093856,-0.0005996389081701636,-0.0016309304235619492,0.6777755618095398,995.7837684666666,,,
262,32,249,65536,0.023486328125,-0.10622739791870117,9.36512e-05,0.0007681523,986.3230769230769,310,0.005459870173945091,-1.0284340545535087,0.0936512,-0.005226229317486286,-0.002249510432011448,0.6756383180618286,983.8836123846155,,,
266,33,253,67584,0.03837890625,0.746780276298523,9.34464e-05,0.001193023,986.3230769230769,320,0.017327061272226274,-1.02585461884737,0.0934464,-0.004157651215791702,-0.0015788769291248173,0.6744791269302368,983.8836123846155,,,
269,34,258,69632,0.0318359375,-0.28804850578308105,9.324160000000001e-05,0.0007407815,987.1159420289855,330,0.0008551946593797766,-1.0237638130784035,0.09324160000000001,-0.003369751153513789,-0.0014840594521956518,0.672593355178833,984.7178929710146,,,
273,35,262,71680,0.02109375,-0.9764840602874756,9.30368e-05,0.0005007241,987.3,340,0.0018430545504088513,-1.0190689027309419,0.0930368,0.000832343241199851,-0.0010199402619036845,0.6681878566741943,984.9150970571432,,,
