time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,eval/mean_reward,eval/mean_ep_length
10,20480,73.2015672,29,74.82,686,,,,,,,,,,,,,
11,22528,93.79636955,32,95.7,694,0.19795200000000002,-1.2560707226395607,0.006051068,-0.010389205187675544,0.15574661241844295,0.0767578125,0.8446028828620911,0.00029692799999999996,0.04612279683351517,0.7762929797172546,100,,
12,24576,104.64086343,35,106.67,697,0.1977472,-1.243045774102211,0.004640743,-0.007719388187979348,0.11867208015173673,0.0552734375,0.8316682577133179,0.00029662079999999994,0.0394095815718174,0.7916818857192993,110,,
13,26624,129.91204288,37,132.32,703,0.1975424,-1.2229449421167373,0.004592773,-0.0070574913668679075,0.08377958787605166,0.055419921875,0.8113235831260681,0.00029631359999999997,0.020179230719804764,0.7099863886833191,120,,
14,28672,150.71051692000003,40,153.3,700,0.1973376,-1.2020134150981903,0.0024657357,-0.004770120966713876,0.0464071175083518,0.037158203125,0.7990699410438538,0.0002960064,0.005601045675575733,0.8870569467544556,130,,
15,30720,163.56798652999998,43,166.29,703,0.1971328,-1.1875991240143775,0.0048090275,-0.007058868822059594,0.046327257389202715,0.048779296875,0.7885898947715759,0.0002956992,0.00047347135841846466,0.9266033172607422,140,,
16,32768,177.20907723999997,46,180.1,708,0.196928,-1.1810017660260201,0.0071172435,-0.00887814314919524,0.020137749740388244,0.086865234375,0.7885175347328186,0.00029539199999999995,-0.005493630655109882,0.973355770111084,150,,
17,34816,186.85080339999996,48,189.75,715,0.19672320000000001,-1.180256037414074,0.0038044192,-0.0028213002544362096,0.044003650080412626,0.035009765625,0.7866870164871216,0.0002950848,0.03185847029089928,0.9084608554840088,160,,
18,36864,210.34614735,51,213.42,721,0.1965184,-1.1705316573381424,0.005150418,-0.005319944367511198,0.006571624107891694,0.0458984375,0.7738128304481506,0.00029477759999999996,0.0009723131079226732,0.8296936750411987,170,,
19,38912,228.28415346000003,53,231.53,726,0.1963136,-1.1602035224437715,0.003741468,-0.002944997837767005,0.0443492922000587,0.047119140625,0.7699814438819885,0.0002944704,0.019658638164401054,0.7355941534042358,180,,
,40000,,,,,0.1961088,-1.1581430196762086,0.004570524,-0.003066907642642036,0.045299467421136795,0.038232421875,0.7706728577613831,0.00029416319999999997,0.01958206668496132,0.6963952779769897,190,962.8060137,970.5
20,40960,245.46181636,76,248.84,533,,,,,,,,,,,,,
21,43008,268.074678,79,271.66,539,0.195904,-1.1555655777454377,0.0033562502,-0.003701734557398595,0.007255871285451576,0.048974609375,0.7661551237106323,0.00029385599999999995,-0.0036604851484298706,0.9473966360092163,200,,
22,45056,276.99673276,82,280.6,546,0.19569920000000002,-1.1531163692474364,0.004161346,-0.003437024151207879,0.01867624028818682,0.046044921875,0.7678054571151733,0.0002935488,-0.011354869231581688,0.8059797286987305,210,,
23,47104,304.18132475000004,85,307.99,553,0.1954944,-1.1482892513275147,0.006752616,-0.00545023896265775,0.004155754996463657,0.06123046875,0.7576179504394531,0.00029324159999999995,-0.0034880791790783405,0.9226009845733643,220,,
24,49152,328.19028026,87,332.23,560,0.1952896,-1.1404967442154885,0.0065590437,-0.004339922730287072,0.007994485812378115,0.057958984375,0.7570571899414062,0.0002929344,-0.0005013612098991871,0.9206666946411133,230,,
25,51200,337.28571174999996,90,341.46,567,0.1950848,-1.1380973905324936,0.003970493,-0.004976202762918547,0.016195799241540954,0.053662109375,0.7539799809455872,0.00029262719999999996,-0.004360110964626074,0.7408674359321594,240,,
26,53248,364.0694347,92,368.35,574,0.19488000000000003,-1.1305829629302024,0.0021022784,-0.0016076995409093798,0.001711168793553952,0.017724609375,0.7449276447296143,0.00029232,0.0008679452002979815,0.9514337182044983,250,,
27,55296,373.48234404000004,95,377.8,581,0.19467520000000002,-1.1150852590799332,0.0035080737,-0.005244198482250795,0.0013882954852306284,0.0328125,0.7307822108268738,0.00029201279999999997,-0.011339065618813038,0.80482017993927,260,,
28,57344,401.49350817999994,97,405.84,586,0.19447040000000002,-1.1004420936107635,0.0031772582,-0.00258048998657614,0.000999849409708986,0.02412109375,0.7244101166725159,0.00029170559999999995,-0.011086498387157917,0.009731590747833252,270,,
