time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/approx_kl,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/clip_range,rollout/ep_rew_mean,train/explained_variance,train/std,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
1,2048,874,2,,,,,,,,,,,,,,,,
2,4096,835,4,0.0009765052,0.060107421875,10,1000.0,9.965866666666667e-05,0.09965866666666667,951.272301,0.9772210121154785,0.062426015734672546,-0.0018559031886979938,-0.0008853875930071809,1.3526536881923676,0.001154756923824607,,,
3,6144,846,7,0.0013258071,0.065478515625,20,836.6,9.931733333333335e-05,0.09931733333333334,767.6820587999999,0.9995689392089844,0.06213605776429176,-0.004318077117204666,-0.0005325812322553247,1.3573736399412155,3.926301478713867e-05,,,
4,8192,856,9,0.0020532312,0.09609375,30,897.875,9.8976e-05,0.09897600000000001,828.963972875,0.974724292755127,0.062077660113573074,0.0019079255871474743,-0.001634273468516767,1.3601117581129074,0.007226445138803684,,,
5,10240,852,12,0.003041922,0.121630859375,40,909.2222222222222,9.863466666666667e-05,0.09863466666666668,847.6478258888889,0.9985608458518982,0.061999235302209854,-0.0018551911925897002,-0.003010785937658511,1.3609195947647095,3.273260623473107e-05,,,
6,12288,852,14,0.001061289,0.032373046875,50,931.9166666666666,9.829333333333334e-05,0.09829333333333334,877.3879959166667,0.9152945280075073,0.061885640025138855,-0.00611488614231348,-0.0014345502946525811,1.3626353561878204,0.0003264267042141,,,
7,14336,846,16,0.0029255338,0.097119140625,60,827.2,9.7952e-05,0.097952,771.1863694000001,0.9899066686630249,0.06179025024175644,0.004047549329698086,0.00047835793811827897,1.3641268074512483,0.0006269661482292577,,,
8,16384,847,19,0.0011794202,0.05625,70,847.5294117647059,9.761066666666668e-05,0.09761066666666668,791.1768063529411,0.9405872225761414,0.062135614454746246,0.01111974474042654,-0.0013479004905093462,1.3623992115259171,0.014552931929938496,,,
9,18432,848,21,0.00043241424,0.0388671875,80,827.5,9.726933333333334e-05,0.09726933333333333,765.25184955,0.9802088141441345,0.062270186841487885,-0.0003783546562772244,-0.00015583218191750348,1.3583413720130921,0.000695293328135449,,,
,20000,,,0.0006520415,0.031787109375,90,,9.6928e-05,0.09692800000000001,,0.9968223571777344,0.062439292669296265,-0.002121325582265854,-0.0011940909971599467,1.3560570061206818,0.00024244868818641408,820.8986333999999,914.3,
10,20480,422,48,,,,835.7142857142857,,,776.2801951428571,,,,,,,,,0.25
11,22528,435,51,0.001398817,0.02802734375,100,799.1153846153846,9.658666666666667e-05,0.09658666666666667,743.6751492307692,0.9757074117660522,0.06217372789978981,0.00015803113637957722,-0.0014370566874276846,1.3565391600131989,0.0004974385257810355,,,
12,24576,446,54,0.0012159878,0.05361328125,110,780.7857142857143,9.624533333333335e-05,0.09624533333333335,723.3603481785714,0.9644477963447571,0.06216342747211456,0.008404411375522614,-0.0016185332962777466,1.3593584537506103,0.011406645047827624,,,
13,26624,459,57,0.0010767209,0.03544921875,120,758.5454545454545,9.590400000000001e-05,0.095904,699.3530413939393,0.9632675647735596,0.06232878193259239,-0.003002501092851162,-0.0016399498039390893,1.3579690337181092,0.003393497761862818,,,
14,28672,471,60,0.0010178075,0.03486328125,130,758.5454545454545,9.556266666666667e-05,0.09556266666666667,699.3530413939393,0.9654006958007812,0.06246257945895195,0.001369271893054247,-0.00046416179393418135,1.3552383810281754,0.007592165761161595,,,
15,30720,485,63,0.0017753699,0.056103515625,140,739.025,9.522133333333334e-05,0.09522133333333334,676.73267225,0.5924106240272522,0.06236664205789566,-0.004401827231049538,-0.0009669503197073936,1.35456180870533,0.00016117487375595375,,,
16,32768,498,65,0.0016879472,0.0734375,150,729.6428571428571,9.488e-05,0.09488,666.1918665952381,0.9575913548469543,0.06237456947565079,0.006537055596709251,-0.0006108977715484798,1.355942529439926,0.017029460769845173,,,
