rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/std,train/loss,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,eval/mean_ep_length,eval/mean_reward
10.572925569999997,1,4096,11.63,266,15,,,,,,,,,,,,,
11.53267796,2,8192,12.6,270,30,0.1209716796875,10,-0.012052120408043265,-1.4225539818406105,1.4198661629110574,1.0068340301513672,0.2535487413406372,0.19983616,-0.06587159633636475,0.00029975423999999997,0.010323258,,
13.78819303,3,12288,14.87,278,44,0.1316650390625,20,-0.01575747387832962,-1.4190374255180358,0.5175735980272294,0.9920073747634888,0.14065784215927124,0.19967232000000001,0.2580333948135376,0.00029950847999999996,0.01161805,,
15.034350260000002,4,16384,16.12,302,54,0.1667724609375,30,-0.022746446507517247,-1.399070180952549,0.3287618916481733,0.966923177242279,0.11635744571685791,0.19950848000000002,0.6325377225875854,0.00029926272,0.013644217,,
,,20000,,,,0.1846435546875,40,-0.024102054006652905,-1.371355064213276,0.22918437477201223,0.9400877952575684,0.0706665962934494,0.19934464000000002,0.7832915186882019,0.00029901696,0.013694448,22.6,21.5226059
16.75923981,5,20480,17.86,314,65,,,,,,,,,,,,,
17.97401441,6,24576,19.07,325,75,0.1617919921875,50,-0.02046994356205687,-1.3440861746668815,0.21241655386984348,0.9159520864486694,0.07571601867675781,0.19918080000000002,0.8167572617530823,0.0002987712,0.013214551,,
20.685806,7,28672,21.8,335,85,0.14658203125,60,-0.016760924982372673,-1.3184244826436042,0.1940836412832141,0.8942369818687439,0.07339800149202347,0.19901696000000002,0.8412809371948242,0.00029852544,0.012263445,,
21.343106260000003,8,32768,22.46,344,95,0.08984375,70,-0.011499348208599259,-1.2979286447167397,0.180263552069664,0.8783584237098694,0.07044275104999542,0.19885312,0.8677892684936523,0.00029827968,0.009385107,,
21.149350739999996,9,36864,22.26,351,104,0.0840576171875,80,-0.01114900752727408,-1.2815562903881073,0.15423817969858647,0.8667310476303101,0.05801763758063316,0.19868928,0.8897774815559387,0.00029803391999999997,0.0072035533,,
,,40000,,,,0.0749755859375,90,-0.008439520662068389,-1.2699007034301757,0.1104211232624948,0.8587362766265869,0.04050305858254433,0.19852544000000003,0.9114989042282104,0.00029778816,0.0074163163,26.0,24.911382500000002
23.75396269,10,40960,24.87,351,116,,,,,,,,,,,,,
23.566834229999998,11,45056,24.68,356,126,0.08955078125,100,-0.008869038517877926,-1.260798352956772,0.16057827481999992,0.8500860333442688,0.045261941850185394,0.19836160000000003,0.886967122554779,0.0002975424,0.009402312,,
25.407327450000004,12,49152,26.53,359,136,0.1026611328125,110,-0.010480126412585378,-1.2550783231854439,0.11940885772928596,0.8484510779380798,0.028893746435642242,0.19819776,0.9084075093269348,0.00029729664,0.009273468,,
25.412991209999994,13,53248,26.55,363,146,0.1284912109375,120,-0.011561172734946012,-1.2489604637026788,0.11682904502376915,0.8403438329696655,0.03892916440963745,0.19803392,0.9162226319313049,0.00029705088,0.010469225,,
26.353196039999997,14,57344,27.5,366,156,0.1421875,130,-0.012639764253981412,-1.2391867756843566,0.13349154200404884,0.831148624420166,0.04757525026798248,0.19787008,0.9024639129638672,0.00029680512,0.011402012,,
,,60000,,,,0.131298828125,140,-0.012105690280441195,-1.2241837084293365,0.1295446291565895,0.815782368183136,0.04883340746164322,0.19770624000000003,0.9152168035507202,0.00029655936,0.014014958,30.5,29.2895983
30.214111750000008,15,61440,31.4,364,168,,,,,,,,,,,,,
34.58383705,16,65536,35.83,368,177,0.13779296875,150,-0.008507623249897733,-1.2092410892248153,0.18994629699736834,0.8080812096595764,0.10337856411933899,0.1975424,0.8929353952407837,0.00029631359999999997,0.009705916,,
33.51691299,17,69632,34.77,370,188,0.1051513671875,160,-0.008826866411254741,-1.196322989463806,0.21993860006332397,0.7931196093559265,0.0951790064573288,0.19737856,0.8789273500442505,0.00029606783999999996,0.007860845,,
35.45823512,18,73728,36.76,370,198,0.0728515625,170,-0.00569891742488835,-1.1766050636768342,0.24003917239606382,0.7768505811691284,0.11266414821147919,0.19721472,0.8683491945266724,0.00029582207999999995,0.00705158,,
39.40121337,19,77824,40.74,372,209,0.1016845703125,180,-0.007276972488034517,-1.1573458716273308,0.1921999827027321,0.7642083764076233,0.06150994449853897,0.19705088,0.8864142298698425,0.00029557631999999994,0.0077818036,,
,,80000,,,,0.1328125,190,-0.007128271489636973,-1.1452664092183114,0.2372096884995699,0.7569770216941833,0.10166920721530914,0.19688704,0.8646602630615234,0.00029533055999999994,0.011650256,41.7,40.37345019999999
44.156494869999996,20,81920,45.52,370,221,,,,,,,,,,,,,
47.674531710000004,21,86016,49.08,373,230,0.0914794921875,200,-0.007783769996603951,-1.1354351714253426,0.256681015342474,0.7495050430297852,0.1159004420042038,0.19672320000000001,0.8674159049987793,0.0002950848,0.009903944,,
