time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward,curriculum/shake_force
221,14,753.0540540540541,750.6713099729731,259,57344,9.645013333333333e-05,-0.002072768294601701,130,-0.004027994349598885,0.0677490234375,0.32793208956718445,0.09645013333333334,-0.3027952328324318,0.6318928003311157,0.008799966564401985,0.0015646388,,,
,,,,,60000,9.617706666666668e-05,-0.002619124168995768,140,-0.00452827662229538,0.08330078125,0.3274504542350769,0.09617706666666667,-0.3034132160246372,0.9271430969238281,0.0012189284734631656,0.0016892833,718.9,716.743295,
269,15,747.8375,745.4368597499999,227,61440,,,,,,,,,,,,,,0.03
280,16,735.6436781609195,733.2587098160919,233,65536,9.590400000000001e-05,-0.001906575050088577,150,-0.0034490330144762993,0.0923583984375,0.32798901200294495,0.095904,-0.3030814353376627,0.8384860754013062,0.00352549175004242,0.0032081772,,,
290,17,739.3369565217391,736.9601503586956,239,69632,9.563093333333334e-05,-0.00310158565043821,160,-0.0025886057410389185,0.0940673828125,0.32789844274520874,0.09563093333333333,-0.30396889969706536,0.7522101998329163,0.0106806591298664,0.0019035679,,,
300,18,700.36,698.01417667,245,73728,9.535786666666667e-05,-0.0007852051450754516,170,-0.0001929095888044685,0.0989990234375,0.3266600966453552,0.09535786666666668,-0.30184877589344977,0.9774796962738037,0.0005315647982570227,0.0034000757,,,
310,19,700.35,698.0512761599999,250,77824,9.50848e-05,-0.0022579799027880655,180,-0.0014719378668814898,0.069189453125,0.32735171914100647,0.09508480000000001,-0.3008690200746059,0.8944774866104126,0.013498654292197898,0.0015290559,,,
,,,,,80000,9.481173333333335e-05,-0.00025683831991045735,190,-0.003597482107579708,0.0510009765625,0.3267725110054016,0.09481173333333334,-0.3015999708324671,0.9088801741600037,0.0011941402433876646,0.00096815184,705.2,702.8652658999999,
360,20,700.36,698.0903231799999,227,81920,,,,,,,,,,,,,,0.03
370,21,690.58,688.3348203999999,231,86016,9.453866666666668e-05,-0.002544915302132722,200,-0.0058950562961399555,0.0706298828125,0.32694122195243835,0.09453866666666667,-0.30063074789941313,0.972636342048645,0.0006531817403811147,0.0010788064,,,
