time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/std,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length,curriculum/shake_force
16,467,32768,70,988.6994875625,0.09488,992.375,9.488e-05,-1.2541072577238084,0.01845703125,-0.0004989752196706831,0.001611036573012825,0.844907283782959,0.00058727653,-0.3456079959869385,-0.0012210558750666678,150,,,
17,476,34816,73,988.6994875625,0.09453866666666667,992.375,9.453866666666668e-05,-1.248114937543869,0.009765625,-0.0014191855443641543,0.001677017257316038,0.840858519077301,0.00051273184,-0.14532709121704102,-0.0014168477937346324,160,,,
18,486,36864,75,989.4334865555554,0.09419733333333334,993.2222222222222,9.419733333333334e-05,-1.2447890758514404,0.014501953125,-0.0016052620485424995,0.0020700563720311036,0.8394722938537598,0.00057937566,0.9018099308013916,-0.0015036956348922104,170,,,
19,495,38912,78,989.4334865555554,0.093856,993.2222222222222,9.3856e-05,-1.243174646794796,0.001953125,-0.004670834168791771,0.0016827033061417751,0.8382043242454529,0.00044315314,0.6957496404647827,-0.00035519730881787835,180,,,
,,40000,,,0.09351466666666668,,9.351466666666667e-05,-1.2423227339982987,0.00703125,-0.0015903424937278032,0.0020288251733290965,0.8379318714141846,0.00032678578,0.6410448551177979,-0.0007229939510580152,190,995.8655329999999,1000.0,
20,375,40960,109,990.05611305,,993.9,,,,,,,,,,,,,0.3125
21,384,43008,111,990.05611305,0.09317333333333333,993.9,9.317333333333333e-05,-1.2409249275922776,0.004150390625,-0.0012800941476598382,0.0012532605498563499,0.8361907005310059,0.00046590136,-0.13060784339904785,-0.0005401050730142742,200,,,
22,392,45056,114,990.6452075454545,0.09283200000000001,994.4545454545455,9.283200000000001e-05,-1.2392724558711052,0.05205078125,0.0010813979897648096,0.001958220796950627,0.8350183367729187,0.0010406163,0.4661463499069214,-0.0020848062122240663,210,,,
23,400,47104,117,990.7060486666666,0.09249066666666667,994.5777777777778,9.249066666666667e-05,-1.2357481732964515,0.025048828125,-0.000742919510230422,0.002705642250657547,0.8297637701034546,0.00065648556,0.49681633710861206,-0.0016955632978351786,220,,,
24,408,49152,120,991.1271142083333,0.09214933333333333,994.9166666666666,9.214933333333334e-05,-1.231694158911705,0.03017578125,0.0008776332251727581,0.0012125449618906714,0.829075813293457,0.0007964761,0.09714096784591675,-0.0014987797854701056,230,,,
25,416,51200,123,991.2767901428572,0.091808,995.0204081632653,9.1808e-05,-1.2296697065234183,0.001220703125,0.0006593810394406319,0.001529703420237638,0.8256999850273132,0.00022614867,0.15573185682296753,-0.00044740270241163673,240,,,
26,423,53248,125,991.5815817307691,0.09146666666666667,995.3076923076923,9.146666666666666e-05,-1.2257634535431863,0.022412109375,-0.0007227130699902773,0.001095895170874428,0.8232877850532532,0.0006612347,-0.5173678398132324,-0.0012103995453799144,250,,,
