time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length,curriculum/start_tilt
32768,472,16,69,172.18,90.98523564000001,0.008645701,150,-1.305035787820816,-0.015198319288901984,0.013374178227968514,0.00029539199999999995,0.8811715841293335,-0.010253475978970528,0.10791015625,0.196928,0.9570817947387695,,,
34816,470,17,73,190.35,107.33812042000001,0.0027062946,160,-1.283284518122673,-0.005958749173441902,0.015803739812690766,0.0002950848,0.8644733428955078,-0.01677326299250126,0.01640625,0.19672320000000001,0.9490665197372437,,,
36864,471,18,78,199.67,114.69262830000001,0.003465884,170,-1.2644200876355172,-0.007315051287878305,0.012344967544777319,0.00029477759999999996,0.8486087918281555,-0.0010049124248325825,0.03203125,0.1965184,0.9626969695091248,,,
38912,473,19,82,225.84,138.03812713000002,0.0044015907,180,-1.2401993364095687,-0.006855832779547199,0.00457079921325203,0.0002944704,0.8239240050315857,-0.01151615846902132,0.033837890625,0.1963136,-0.47687578201293945,,,
40000,,,,,,0.0061735823,190,-1.2148796066641807,-0.009858329890994355,0.004629526086500846,0.00029416319999999997,0.8095120787620544,-0.018091943114995956,0.063134765625,0.1961088,0.9838912487030029,999.7046508000001,1000.0,
40960,361,20,113,235.4,146.45490423,,,,,,,,,,,,,,0.05
43008,367,21,117,260.7,171.08713973000002,0.003232423,200,-1.1964783772826195,-0.00455904480186291,0.001977345984778367,0.00029385599999999995,0.7911697626113892,-0.003111497964709997,0.022021484375,0.195904,-1.955148458480835,,,
45056,372,22,121,277.82,188.49870007,0.0027593863,210,-1.1787531048059463,-0.0042074534358107485,0.004895688616670668,0.0002935488,0.7825378179550171,-0.006372000090777874,0.023046875,0.19569920000000002,0.8702037334442139,,,
47104,377,23,124,290.9,204.82151569,0.0061779837,220,-1.161092573404312,-0.006644883260014467,0.001520600469666533,0.00029324159999999995,0.7621279954910278,-0.007580427452921867,0.0513671875,0.1954944,-0.7117713689804077,,,
49152,380,24,129,308.18,221.49449285,0.0053228852,230,-1.1400435149669648,-0.005476468981942162,0.0028203789093822706,0.0002929344,0.7524754405021667,-0.015998050570487976,0.047802734375,0.1952896,0.9640750885009766,,,
51200,381,25,134,324.16,236.85165474000001,0.005539668,240,-1.1221220448613167,-0.006206718209432438,0.0008549670266802423,0.00029262719999999996,0.7342275381088257,-0.008979723788797855,0.052099609375,0.1950848,-0.22799062728881836,,,
53248,384,26,138,341.26,253.13963517,0.0014110565,250,-1.106083630025387,-0.0061932779150083665,0.008216493051440921,0.00029232,0.7296054363250732,-0.020552730187773705,0.01279296875,0.19488000000000003,0.9566344618797302,,,
55296,386,27,142,358.33,270.1075735,0.004274997,260,-1.094739566743374,-0.00899509349546861,0.0009763551890500822,0.00029201279999999997,0.7144213914871216,-0.004870439413934946,0.037890625,0.19467520000000002,0.9855392575263977,,,
57344,389,28,147,372.52,286.9779142,0.0017827484,270,-1.0773311749100685,-0.003922675141802756,0.001582556651555933,0.00029170559999999995,0.7075213193893433,-0.003631625324487686,0.013671875,0.19447040000000002,0.9362488389015198,,,
59392,391,29,151,390.55,302.92210632999996,0.003855303,280,-1.0672174245119095,-0.005390165073913522,0.0034491971935494805,0.0002913984,0.6999984979629517,-0.0009038248099386692,0.0361328125,0.1942656,0.9811730980873108,,,
60000,,,,,,0.003257085,290,-1.0512246504426002,-0.0073411289777141064,0.0006246252560231369,0.0002910912,0.683833122253418,-0.01134426984935999,0.016943359375,0.19406080000000003,0.9905519485473633,999.8555473,1000.0,
61440,336,30,182,406.85,318.19397886,,,,,,,,,,,,,,0.057499999999999996
63488,341,31,186,423.66,333.99771198,0.0038717887,300,-1.035296155512333,-0.0024688044941285625,0.002015122952434467,0.000290784,0.6802145838737488,-0.002338038757443428,0.03974609375,0.19385600000000003,0.9916883111000061,,,
