time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss,train/std,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/clip_range,eval/mean_ep_length,eval/mean_reward
1,29.560606060606062,2048,1,28.294802787878787,1179,,,,,,,,,,,,,
3,32.48,4096,2,31.179890539999995,1117,1.0039186477661133,-0.01179969310760498,0.0023506228,-1.4180477246642114,1.0001962184906006,1.5835909374058246,0.00029692799999999996,-0.0011160557565744965,10,0.007470703125,0.19795200000000002,,
5,37.3,6144,3,35.95744491999999,1070,0.07750663161277771,0.055296123027801514,0.009102071,-1.4189311280846595,1.0011117458343506,0.2442709949798882,0.00029385599999999995,-0.009703091398114339,20,0.09130859375,0.195904,,
7,44.61,8192,4,43.20569001,1055,0.0791301503777504,0.35636043548583984,0.007696866,-1.4187157586216927,0.998878002166748,0.23351131249219179,0.000290784,-0.010644196430803277,30,0.0740234375,0.19385600000000003,,
9,53.74,10240,5,52.24442563999999,1029,0.053892333060503006,0.5398874282836914,0.008829001,-1.4156365931034087,0.9955428242683411,0.19239429086446763,0.00028771199999999997,-0.013379734335467219,40,0.10400390625,0.191808,,
11,64.78,12288,6,63.18769337999999,1042,0.04086370766162872,0.710014820098877,0.010146705,-1.409440566599369,0.984947681427002,0.15510764671489596,0.00028463999999999996,-0.017791580810444428,50,0.12919921875,0.18976,,
13,77.06,14336,7,75.36228386,1050,0.03830733522772789,0.8134288191795349,0.0092567615,-1.3969803020358085,0.9717310070991516,0.12779632825404405,0.00028156799999999994,-0.01659713523113169,60,0.115087890625,0.187712,,
15,92.71,16384,8,90.82872352,1055,0.02535887062549591,0.8898022174835205,0.010617539,-1.3816971480846405,0.9572217464447021,0.08413108107633889,0.000278496,-0.01990834530442953,70,0.168017578125,0.18566400000000002,,
17,92.71,18432,9,90.82872352,1054,0.003102455288171768,0.8787225484848022,0.008695573,-1.3713447406888009,0.9502257108688354,0.06772857126779855,0.00027542399999999997,-0.01699715676950291,80,0.1314453125,0.183616,,
,,20000,,,,-0.002545771189033985,0.7537627220153809,0.0065657157,-1.3628350511193275,0.9412630200386047,0.02283595100743696,0.00027235199999999996,-0.009525463270256296,90,0.08310546875,0.181568,1000.0,999.0368245
